,name,historical_sold,price,rating_star,image,status
0,Quần đùi nam thể thao mát co giãn phù hợp thể thao hay mặc nhà SHORTGIO,19965,2750000000,4.670701,https://down-vn.img.susercontent.com/file/bcecf8f5f48f49b14f53c4d3a43a1c18_tn,normal
1,"Quần short thun nam thể thao, quần đùi nam mặc nhà đi chơi tập gym-DUI01",35848,3500000000,4.777552,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lrq43mumt8yh8f_tn,normal
2,"Quần đùi nam short thể thao mặc nhà vải gió co giãn nhẹ mát có khoá kéo co giãn 4 chiều, nhẹ, mềm SHORTGIO",2860,2750000000,4.68906,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqmby8b1bp3m4f_tn,normal
3,Quần short Nam thể thao vải gió co giãn nhẹ mát có khóa túi tiện dụng tập gym hay mặc nhà SHORTGIO,2723,2790000000,4.633267,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqmby8b18vyq90_tn,normal
4,"Quần đùi thể thao nam vải gió thể thao cao cấp, co giãn 4 chiều, nhẹ, mềm, mát, không bai SHORTGIO",2338,2750000000,4.689223,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqmby8b14o9e72_tn,normal
5,"Quần lót nam, quần sịp nam cotton, co giãn, đàn hồi tốt thấm hút mồi hôi",2267,900000000,4.702006,https://down-vn.img.susercontent.com/file/8fbfb342b176cd168b260bee020bb322_tn,normal
6,Bộ Đồ Quần Áo Thể Thao Nam Mùa Hè Chất Thun Lạnh Co Giãn 4 Chiều 5 BTT06,157,5900000000,4.878049,https://down-vn.img.susercontent.com/file/sg-11134201-23020-1g5vwnfqhdnvb7_tn,normal
7,Bộ nam hè Bộ quần áo Mặc Nhà Thể Thao Nam Mùa Hè Phong Cách Cao Cấp BTT,1290,5989000000,4.604743,https://down-vn.img.susercontent.com/file/5332490e9da1f7d58b8dd18856e1d533_tn,normal
8,"Mũ lưỡi trai, Nón kết màu đỏ trơn Nam nữ",29,1200000000,5.0,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lq8oi3imxnav7a_tn,normal
9,Áo Thể Thao Nam THE DEME thun lạnh tập gym cổ tròn ngắn tay vải thoáng mát co giãn ATT,6186,1395000000,4.718985,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqmby8b162tu73_tn,normal
10,"Áo giữ nhiệt nam, Áo thun nam tay dài ôm body đẹp cao cấp co giãn 4 chiều cao cấp AGN",604,3590000000,4.758929,https://down-vn.img.susercontent.com/file/sg-11134201-22090-qin3yd43kshv77_tn,normal
11,Quần đùi nam mặc nhà Q3SOC thun mềm mát hút mồ hôi tốt size 50-80kg,888,2990000000,4.777778,https://down-vn.img.susercontent.com/file/0172cfcda2b78f841f003f1845f71286_tn,normal
12,"Bọc Chân Chống Xe Máy, Đế Cao Su Chống Trầy Nền Nhà tặng kèm phụ kiện dây rút",0,250000000,0.0,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lsb64t6w5xg974_tn,normal
13,"Găng tay, bao tay hở ngón lái xe, vớ thể thao chống trượt, chống tia UV thoáng khí",9,590000000,5.0,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ls276zpf5fic52_tn,normal
14,Quần đùi nam thể thao có bigsize mặc nhà vải thun co giãn nhẹ mát có túi 2 bên DUI01,1482,5990000000,4.811258,https://down-vn.img.susercontent.com/file/4af428004332c4611a50440a5107ee29_tn,normal
15,"Quần Đùi Nam,Quần Short Nam Thể Thao Vải Dù Gió Phối 3 Sọc, Nhẹ, Mát- DUIGIO03",800,2000000000,4.661417,https://down-vn.img.susercontent.com/file/53022ac35146172b124b508d5fcf1766_tn,normal
16,Áo thun nam cổ bẻ thể thao chất thun lạnh vân dập đẹp co giãn vận động thoải mái POLOA1-TD,96,3000000000,4.818182,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lm1why8vl3a705_tn,normal
17,Quần đùi nam thể thao có bigsize chất thun mềm mát co giãn tốt có khóa kéo 2 bên DUI01,264,5990000000,4.688525,https://down-vn.img.susercontent.com/file/sg-11134201-22100-uu15uipc0siv81_tn,normal
18,Áo Thể Thao Nam THE DEME thun lạnh tập gym cổ tròn ngắn tay vải thoáng mát,64,3490000000,4.85,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lghp424h3otm9f_tn,normal
19,"Áo Thể Thao Nam Cộc Tay THE DEME Áo thun lạnh cổ tròn, ép vân cao cấp, phong cách, mạnh mẽ và năng động",22,2370000000,5.0,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lf01p008t3yv79_tn,normal
20,Áo thun dài tay nam thể thao cổ tròn mã [D03] chất thun lạnh co giãn 4 chiều. Thun giữ nhiệt nam AGN,371,3590000000,4.269841,https://down-vn.img.susercontent.com/file/49d625057984a771094215cb506cd5cd_tn,normal
21,"Quần sooc lửng nam thể thao, quần short tập gym mặc nhà nhiều size có 2 túi và có khoá kéo chắc chắn, tiện dụng SHORTGIO",357,3590000000,4.490909,https://down-vn.img.susercontent.com/file/01e7ab4da2e88e9b971c451678176cf6_tn,normal
22,Áo Thể Thao Nam thun lạnh tập gym cổ tròn ngắn tay vải thoáng mát ATT,546,3390000000,4.841121,https://down-vn.img.susercontent.com/file/5b8650190a16bba7b941edee26742b5e_tn,normal
